"inst"	"score"	"nss.teach"	"nss.all"	"spend"	"ssr"	"career"	"value"	"tariff"	"nss.feedback"	"rank"	"year"	"group"	"former_poly"
"SOAS"	71.1	88.8680815647108	83.5548172757475	7.02875272655166	11.848874661236	66.9642857142857	7.17062727467352	437.174698795181	60.1765489673551	22	2014	"1994"	"No"
"Bristol"	71	90.3357763763422	85.6623494660305	5.92958800031331	14.2227349599289	78.6239723063609	5.98015978695073	487.216807247735	65.9092974643279	23	2014	"Russell"	"No"
"Southampton"	70.9	88.6389669894824	88.1373569198751	6.488678434684	13.7162145513797	65.9824046920821	5.90034625283325	437.809080654258	66.6069718045896	24	2014	"Russell"	"No"
"Strathclyde"	70.5	89.2030518689492	87.3365803640092	6.55629176141333	18.3347573351243	71.1741791875348	5.5480316515925	465.407372400756	66.0104583205168	26	2014	"None"	"No"
"Newcastle"	69.6	88.0081611833716	87.8063725490196	5.78041480627971	15.3111043613339	76.0584488572499	5.8696903355898	437.869887455394	66.7740882760871	27	2014	"Russell"	"No"
"Nottingham"	69.5	89.1676278354479	87.6080691642651	6.82598282041716	13.9689995446029	70.4877376687793	5.48330344407016	439.279302670624	67.5717252519037	28	2014	"Russell"	"No"
"Cardiff"	68.7	88.5472905418916	87.1368463233821	6.6503569070155	14.236970540136	74.3669896842764	5.29685431507281	433.469435130256	66.69999600048	29	2014	"Russell"	"No"
"Aston"	68.6	84.6433439345752	82.0454545454546	6.4972709563505	16.1540362339453	76.2906309751434	6.09510827776147	398.047135605514	65.4	30	2014	"None"	"No"
"Manchester"	68.1	87.0101965074032	83.6434714620798	7.88180335241556	14.8247002209557	70.4455134909015	4.62209305696814	457.410985178728	66.9290600693468	31	2014	"Russell"	"No"
"King's College London"	68	87.9790069976674	84.5230153435624	7.16024326707718	11.663834475618	84.4836533471718	5.93719630719697	466.923636363636	64.0948764074888	32	2014	"Russell"	"No"
"Coventry"	67	88.5020054641632	86.3361266294227	3.91137760555852	14.6040309236261	69.1350342252645	7.09977284874399	293.944366787811	74.539706155849	33	2014	"Alliance"	"Yes"
"Leeds"	66.3	88.4833767810592	86.0285714285714	6.53876353796921	16.7629149195114	68.1119233677842	6.20141007911658	427.812777587974	69.2676796526905	34	2014	"Russell"	"No"
"Oxford Brookes"	66.2	87.775	85.3609792655508	5.89246802463288	17.325055466681	63.564875491481	6.7502708415907	353.091124822022	71.4635364635365	35	2014	"Alliance"	"Yes"
"Queen Mary"	65.8	86.896390060947	86.0268834010628	6.74238203178781	12.222690986673	71.8786464410735	5.10083570514412	416.939912455234	68.1047958481836	36	2014	"Russell"	"No"
"City"	65.6	78.0228953016933	77.6560266793711	7.99191704732797	18.556037066911	71.5447154471545	5.895567789924	390.53259452412	63.0380952380952	37	2014	"None"	"No"
"Reading"	65.5	87.5008927933719	88.3276255707762	6.08070372312959	15.597257529759	67.4022698612863	5.57859687254724	378.856242615203	65.4498714652956	38	2014	"None"	"No"
"Royal Holloway"	65.5	88.268156424581	87.720465890183	4.6286525974026	16.2488171911513	64.3306379155436	5.72752235704479	400.314020857474	69.8913984942368	39	2014	"1994"	"No"
"Sheffield"	65.5	89.805516092686	90.1549323396744	5.13335166809192	15.5102752633417	71.9789265722753	5.68439962918478	441.654622243079	67.7162575484276	40	2014	"Russell"	"No"
"Dundee"	65	88.4056576541903	89.8037706810312	5.91683870367787	14.4208652790282	72.2929936305732	5.23617093493371	395.687459389213	68.4178140143066	41	2014	"None"	"No"
"Huddersfield"	64.5	88.3272471010315	89.1628145865434	4.29864650453291	18.3564560088673	67.4607471575528	5.993524817399	316.482678214522	81.1184513750192	42	2014	"Alliance"	"Yes"
"Aberdeen"	64.2	86.5165415624131	88.135593220339	5.20027084749149	16.3785200250863	72.4540901502504	6.01297188262718	443.622878228782	64.7268078483686	43	2014	"None"	"No"
"Brunel"	63.4	83.6058970434222	83.9303000968054	6.6497263883259	17.4791293448386	56.3206024744486	5.59319041614124	356.543570219967	72.2598105548038	44	2014	"None"	"No"
"Keele"	62.2	90.3347977579155	89.9969687784177	3.80327044134576	16.4644582700312	75.7042253521127	6.61076049086174	356.116710875331	70.8893735611293	45	2014	"None"	"No"
"Chester"	62.1	88.5521651490929	86.3788300835654	4.08399106370712	16.3419644484644	63.9676113360324	5.39360836705678	296.117283950617	74.7456779142809	46	2014	"None"	"No"
"Northampton"	62	86.9617803580068	85.1386202450032	5.8573883161512	19.9717521496819	59.80985306828	7.07231162373092	299.312166172107	73.9088326446281	47	2014	"None"	"No"
"Portsmouth"	61.9	86.8598776921032	87.1489361702128	5.54709415190488	19.1844941141863	62.4378109452736	6.99306714413608	316.329012961117	68.4713781819727	48	2014	"Alliance"	"Yes"
"Queen's, Belfast"	61.9	87.1158325285463	85.8796821793417	4.98818388607474	15.62160153541	72.382342210872	4.90431474693354	388.226732673267	68.9644204116872	49	2014	"Russell"	"No"
"Sussex"	61.4	87.6828103182186	86.6647041507212	4.8087618855803	17.0782309517608	55.3333333333333	6.31718259414265	407.625847266155	62.5595483150032	50	2014	"1994"	"No"
"Goldsmiths"	61.3	88.807583568934	84.7638057218896	3.16121208345201	19.1848802211193	53.8255033557047	6.64138155084022	370.574316290131	70.2277873984281	51	2014	"1994"	"No"
"Bournemouth"	61.2	82.671104639068	78.3132530120482	6.47747570909805	21.4885114397633	61.3467656415694	7.15677091202095	345.127802690583	68.4048569527612	52	2014	"Alliance"	"Yes"
"University of the Arts London"	61.1	71.4552820193207	60.5493133583021	9.01939970717423	22.4189644602573	52.5940337224384	5.95406295754026	317.261463414634	63.9810426540284	53	2014	"None"	"No"
"Liverpool"	60.4	85.9521981186408	86.6948663718516	7.16760782652924	13.2791825104619	68.6336633663366	4.97045781649669	420.389330975538	64.376873990928	54	2014	"Russell"	"No"
